"SmartDiag Workshop","Taller SmartDiag504"
"Part Request","Solicitud de repuestos"
"Part Request Item","Línea de solicitud de repuestos"
"Workshop Bay","Bahía de taller"
"Bay Assignment","Asignación de bahía"
"Diagnostic Finding","Hallazgo de diagnóstico"
"Diagnostic Session","Sesión de diagnóstico"
"Labor Operation","Operación de mano de obra"
"Maintenance Recommendation","Recomendación de mantenimiento"
"Quality Check Item","Punto de control de calidad"
"SmartDiag Event Outbox","Cola de eventos SmartDiag"
"SmartDiag Settings","Configuración SmartDiag504"
"SmartDiag Vehicle","Vehículo SmartDiag504"
"Technician Assignment","Asignación de técnico"
"Vehicle Check In","Recepción de vehículo"
"Vehicle Check In Photo","Foto de recepción del vehículo"
"Vehicle Fitment","Compatibilidad vehicular"
"Workshop Quality Check","Control de calidad del taller"
"Workshop Warranty Claim","Reclamo de garantía del taller"
"Service Order","Orden de servicio"
"Service Quotation","Cotización de servicio"
"Workshop Manager","Gerente de taller"
"Service Advisor","Asesor de servicio"
"Workshop Technician","Técnico de taller"
"Workshop Quality Inspector","Inspector de calidad"
"Parts Clerk","Encargado de repuestos"
"Workshop Cashier","Cajero de taller"
